ra dec stellar_mass r50_s11 r50_nsa bar_fraction B_T
151.01302659551618 53.29889316006856 10.796826362609863 5.91 4.591863570548399 0.938 0.34
14.237123945098098 -1.2118585024160125 10.7345552444458 9.59 8.44955473207857 0.13 0.13
147.17783040868366 50.49205675882566 10.725052833557129 3.5 2.882073686335787 0.818 0.58
218.65537944322375 2.882403383620617 10.344531059265137 2.58 2.5713144376628874 0.73 0.09
251.26783244619668 24.831700633576663 10.379914283752441 5.38 5.270150457599226 0.14 0.9
195.42508390028226 53.190167249762816 10.230969429016113 6.36 5.229911665045994 0.595 0.18
228.39641779237525 21.251454948415777 10.991220474243164 7.23 6.425389867398927 0.345 0.22
135.85447430622526 20.667421433535917 10.454797744750977 7.12 6.202008553588857 0.335 0.51
233.280078880143 35.06041374083961 10.550196647644043 8.95 8.735495848410867 0.093 0.03
179.71419184682975 28.98503698704544 10.245684623718262 6.25 5.547754903346184 0.214 0.12
200.4574006629696 67.19077081079641 10.252850532531738 6.2 5.75615139901654 0.4 0.16
199.8538095279739 32.60347874039481 10.24767017364502 6.09 5.597374986751462 0.125 0.07
148.24210016176505 21.4246999541332 10.353904724121094 6.15 5.281571249420958 0.4 0.13
198.43743901665727 6.856147757431132 10.360605239868164 6.61 6.1345910397812045 0.214 0.69
215.4471183584241 3.392972917157791 10.290069580078125 6.15 5.652432363118914 0.0 0.48
135.96654606543882 20.552493665825622 10.09835433959961 5.25 4.367164527025548 0.032 0.19
235.85646340265532 33.5014209593613 10.26989459991455 2.21 1.9793488039783436 0.207 0.67
144.23467750475947 28.598357800358045 10.016971588134766 5.76 5.05844828153423 0.179 0.06
228.37500303145555 2.1041481500098613 10.488626480102539 5.76 4.682709428835343 0.971 0.23
135.79635945379644 17.678687843076908 10.004610061645508 8.02 6.803377114670911 0.333 0.13
216.88985423585459 4.460082561507545 10.543072700500488 4.64 4.76405091832956 0.053 0.97
140.28504279847556 21.64126691754294 10.303245544433594 5.7 4.595735934488471 0.115 0.52
219.43895021282853 3.807052590712527 10.65104866027832 7.01 5.273124583137807 1.0 0.4
142.57192802847013 25.313173740334403 10.684471130371094 4.91 4.867551199864285 0.0 0.4
200.27180573431636 42.44882180223075 10.372641563415527 3.46 3.3178682708025207 0.077 0.36
132.86540658182213 9.05662333934005 10.011077880859375 5.88 6.002994966686722 0.379 0.96
162.938184948807 17.75659114079757 10.49082088470459 4.07 3.4131957867404097 0.4 0.38
210.9917645417602 5.882337084759963 10.663376808166504 6.08 5.445944567001304 0.027 0.3
244.57746644829876 31.602641853987066 10.15894889831543 9.02 8.321838427550528 0.129 0.08
155.75940375327443 62.25584401781304 10.359838485717773 7.58 6.341758537986672 0.077 0.23
