L_bol L_bol_err L_r L_r_err L_H L_H_err
1215446246.987351 8.541555988246544e+16 821214208.4647224 4.464554442263612e+16 2518624984.7575593 4.300540228710168e+17
290864959.20801413 398441226736571.4 200792693.82514462 254586963703317.5 582791958.6925493 2304654760013788.0
127840702.03938283 81408585060269.1 90940471.50165695 76395705121368.77 246253758.60323673 477296276310804.44
78830799.09109493 18972176350696.93 57315118.94061638 35075283697106.1 149336993.41241524 163389170836815.12
83637811.05378494 9632602542751.299 59013264.520381235 20833035502041.34 150325668.44398937 111635108875916.52
82075709.71873154 17554275284195.598 56916809.39956385 19282300502408.777 151573196.62400827 218810971286989.75
69707351.27135122 2761083704412.341 48807753.62217724 7041521705741.937 120480995.62899552 32735373962437.812
64977566.30073494 1309885938876.0645 46179580.27221061 3946328266439.033 110991647.31938095 15662318128062.498
45452734.43519759 459833964507.28796 31802053.93882431 1482726804412.2747 74169643.69864157 6931488942190.343
30784126.349205263 198557035044.9486 21450943.241831116 705472730418.4524 49631654.76904152 3016083162994.1724
23042403.511210844 130064649834.28369 16297398.715403106 526469544089.94543 36135426.38180982 2274192141172.557
17034304.049745414 156904541830.91776 12056244.35578201 638797280716.9574 26154235.072120897 2834978524663.4854
9833609.667208213 65127137899.6868 7012240.27162004 344993291797.7945 15063132.575014126 1277353223679.1187
5810605.294966589 54971714038.454285 4166241.256475721 188665972688.27716 8702349.567191487 743421967301.0277
3105810.578002254 60200094919.70733 2237472.380515938 141439503567.0126 4607441.969003237 643872191665.642
1094285.0263470027 11929180609.63278 850771.6305792906 32898311467.422295 1741473.0869970368 128741960810.62215
481643.65027363226 3552361007.0016894 359641.1483057269 7508414709.797246 780369.5940983983 33612908860.028336
